Date,AAPL,GOOG,MSFT
2023-01-03T00:00:00.000,123.7684555053711,89.48025512695312,235.71170043945312
2023-01-04T00:00:00.000,125.04503631591797,88.49267578125,225.40090942382812
2023-01-05T00:00:00.000,123.71897888183594,86.55742645263672,218.72056579589844
2023-01-06T00:00:00.000,128.2711181640625,87.94403076171875,221.29823303222656
2023-01-09T00:00:00.000,128.7955780029297,88.58246612548828,223.452880859375
2023-01-10T00:00:00.000,129.36956787109375,89.02137756347656,225.15496826171875
2023-01-11T00:00:00.000,132.10084533691406,92.03398132324219,231.96322631835938
2023-01-12T00:00:00.000,132.0216827392578,91.68484497070312,234.65896606445312
2023-01-13T00:00:00.000,133.3576202392578,92.5726547241211,235.3673553466797
2023-01-17T00:00:00.000,134.52536010742188,91.93423461914062,236.46929931640625
2023-01-18T00:00:00.000,133.80294799804688,91.5551528930664,232.00257873535156
2023-01-19T00:00:00.000,133.86231994628906,93.67993927001953,228.18521118164062
2023-01-20T00:00:00.000,136.43524169921875,99.03678131103516,236.3413848876953
2023-01-23T00:00:00.000,139.6415252685547,100.96205139160156,238.66326904296875
2023-01-24T00:00:00.000,141.04676818847656,98.96695709228516,238.1320037841797
2023-01-25T00:00:00.000,140.3837127685547,96.49303436279297,236.72506713867188
2023-01-26T00:00:00.000,142.46188354492188,98.91707611083984,243.9957733154297
2023-01-27T00:00:00.000,144.41136169433594,100.4632797241211,244.15318298339844
2023-01-30T00:00:00.000,141.51187133789062,97.71003723144531,238.79116821289062
2023-01-31T00:00:00.000,142.7884521484375,99.62533569335938,243.80882263183594
2023-02-01T00:00:00.000,143.9165802001953,101.18151092529297,248.6690673828125
2023-02-02T00:00:00.000,149.25050354003906,108.53346252441406,260.3277282714844
2023-02-03T00:00:00.000,152.89218139648438,104.96222686767578,254.17864990234375
2023-02-06T00:00:00.000,150.15101623535156,103.21652221679688,252.6241455078125
2023-02-07T00:00:00.000,153.04063415527344,107.77532196044922,263.2399597167969
2023-02-08T00:00:00.000,150.33905029296875,99.75502014160156,262.4233703613281
2023-02-09T00:00:00.000,149.29995727539062,95.22614288330078,259.363525390625
2023-02-10T00:00:00.000,149.6666717529297,94.62760925292969,258.8519592285156
2023-02-13T00:00:00.000,152.4814453125,94.76726531982422,266.939208984375
2023-02-14T00:00:00.000,151.83718872070312,94.71739196777344,267.7755432128906
2023-02-15T00:00:00.000,153.9482421875,96.86212158203125,265.63519287109375
2023-02-16T00:00:00.000,152.34268188476562,95.54535675048828,258.5632629394531
2023-02-17T00:00:00.000,151.1929931640625,94.35826873779297,254.5292205810547
2023-02-21T00:00:00.000,147.15919494628906,91.82450103759766,249.21299743652344
2023-02-22T00:00:00.000,147.5853729248047,91.57511138916016,248.06887817382812
2023-02-23T00:00:00.000,148.0709991455078,90.8469009399414,251.28428649902344
2023-02-24T00:00:00.000,145.40492248535156,89.13111114501953,245.81021118164062
2023-02-27T00:00:00.000,146.6041717529297,89.8792724609375,246.7373504638672
2023-02-28T00:00:00.000,146.0987091064453,90.07878112792969,246.00747680664062
2023-03-01T00:00:00.000,144.0173797607422,90.28826904296875,242.9005584716797
2023-03-02T00:00:00.000,144.61209106445312,92.08385467529297,247.67434692382812
2023-03-03T00:00:00.000,149.68650817871094,93.78966522216797,251.79713439941406
2023-03-06T00:00:00.000,152.46157836914062,95.3458480834961,253.3555450439453
2023-03-07T00:00:00.000,150.25144958496094,93.93930053710938,250.67276000976562
2023-03-08T00:00:00.000,151.51016235351562,94.41812896728516,250.22889709472656
2023-03-09T00:00:00.000,149.25042724609375,92.4330062866211,248.8677978515625
2023-03-10T00:00:00.000,147.1790008544922,90.78704833984375,245.18881225585938
2023-03-13T00:00:00.000,149.13148498535156,91.43545532226562,250.44590759277344
2023-03-14T00:00:00.000,151.2326202392578,94.01911163330078,257.2218933105469
2023-03-15T00:00:00.000,151.6290740966797,96.31346893310547,261.8082580566406
2023-03-16T00:00:00.000,154.46363830566406,100.82239532470703,272.4211120605469
2023-03-17T00:00:00.000,153.62118530273438,102.20899200439453,275.60687255859375
2023-03-20T00:00:00.000,155.9998321533203,101.68029022216797,268.5054016113281
2023-03-21T00:00:00.000,157.8631134033203,105.58070373535156,270.0341796875
2023-03-22T00:00:00.000,156.42604064941406,103.96468353271484,268.5645446777344
2023-03-23T00:00:00.000,157.51622009277344,105.99968719482422,273.861083984375
2023-03-24T00:00:00.000,158.82447814941406,105.8001708984375,276.73126220703125
2023-03-27T00:00:00.000,156.8719940185547,102.8075180053711,272.5986022949219
2023-03-28T00:00:00.000,156.2476348876953,101.11168670654297,271.46435546875
2023-03-29T00:00:00.000,159.33987426757812,101.65036010742188,276.672119140625
2023-03-30T00:00:00.000,160.9157257080078,101.07178497314453,280.1636657714844
2023-03-31T00:00:00.000,163.43313598632812,103.74522399902344,284.35552978515625
2023-04-03T00:00:00.000,164.6918182373047,104.65299987792969,283.3001708984375
2023-04-04T00:00:00.000,164.15664672851562,104.86248016357422,283.2508544921875
2023-04-05T00:00:00.000,162.30325317382812,104.6928939819336,280.4496765136719
2023-04-06T00:00:00.000,163.19525146484375,108.63321685791016,287.6103820800781
2023-04-10T00:00:00.000,160.5886688232422,106.68798828125,285.4306335449219
2023-04-11T00:00:00.000,159.36962890625,105.86003112792969,278.9603576660156
2023-04-12T00:00:00.000,158.67584228515625,104.96222686767578,279.611328125
2023-04-13T00:00:00.000,164.08726501464844,107.92496490478516,285.8744201660156
2023-04-14T00:00:00.000,163.74038696289062,109.19184875488281,282.22509765625
